-0.10479,-0.95604,-0.27388,-0.15667,0.28783,-0.94478,0.98208,-0.056093,-0.17994,-0.025616,-0.91856,-0.39444,-0.84545,0.23046,-0.48177,0.53344,0.32114,-0.7825,-0.098145,-0.96067,-0.25978,-0.10517,0.26959,-0.95722,0.9896,-0.066626,-0.12749,-0.065194,-0.89935,-0.43234,-0.19072,0.4365,-0.87926,0.97948,0.025132,-0.19998
-0.10489,-0.95603,-0.27386,-0.15686,0.28783,-0.94475,0.98203,-0.056139,-0.18016,-0.025656,-0.91858,-0.39439,-0.84587,0.23021,-0.48116,0.53277,0.32126,-0.78291,-0.098267,-0.96068,-0.25968,-0.10518,0.26951,-0.95724,0.98959,-0.066751,-0.12753,-0.065508,-0.89932,-0.43236,-0.19148,0.43657,-0.87906,0.97931,0.025201,-0.2008
-0.10504,-0.95603,-0.27382,-0.15696,0.28783,-0.94473,0.982,-0.056257,-0.18029,-0.025682,-0.91859,-0.39438,-0.84622,0.23001,-0.48063,0.53221,0.32139,-0.78324,-0.098434,-0.96068,-0.25963,-0.105,0.26947,-0.95727,0.98959,-0.066966,-0.1274,-0.065748,-0.8993,-0.43237,-0.19215,0.43661,-0.87889,0.97916,0.025295,-0.20151
-0.10519,-0.95602,-0.2738,-0.15706,0.28784,-0.94471,0.98197,-0.056376,-0.18043,-0.025581,-0.9186,-0.39436,-0.84665,0.22966,-0.48004,0.53154,0.32161,-0.78361,-0.09855,-0.96069,-0.25955,-0.10491,0.26939,-0.9573,0.98959,-0.067114,-0.12733,-0.065944,-0.89928,-0.43236,-0.19287,0.43662,-0.87873,0.97901,0.025444,-0.20224
-0.10543,-0.95603,-0.27365,-0.15731,0.28775,-0.9447,0.98191,-0.056549,-0.18073,-0.025604,-0.91863,-0.3943,-0.8471,0.22938,-0.47939,0.53082,0.32173,-0.78404,-0.098841,-0.96071,-0.25936,-0.10492,0.26925,-0.95734,0.98956,-0.067413,-0.12741,-0.066239,-0.89931,-0.43227,-0.19366,0.43657,-0.87858,0.97883,0.025515,-0.20307
-0.10559,-0.95603,-0.27361,-0.1577,0.28777,-0.94463,0.98183,-0.056592,-0.18115,-0.02559,-0.91862,-0.39431,-0.84754,0.2291,-0.47873,0.53011,0.32194,-0.78444,-0.099159,-0.96069,-0.2593,-0.105,0.26923,-0.95733,0.98952,-0.067701,-0.12757,-0.066502,-0.89929,-0.43226,-0.19447,0.43659,-0.87839,0.97865,0.025644,-0.20392
-0.1055,-0.95609,-0.27344,-0.15811,0.2876,-0.94461,0.98177,-0.056425,-0.18151,-0.025534,-0.91864,-0.39428,-0.84798,0.22878,-0.47811,0.52941,0.32213,-0.78483,-0.099493,-0.96068,-0.25922,-0.10506,0.26919,-0.95734,0.98948,-0.068014,-0.12772,-0.066721,-0.89927,-0.43228,-0.19526,0.43663,-0.87819,0.97848,0.025813,-0.20473
-0.10558,-0.9561,-0.27335,-0.1586,0.28756,-0.94454,0.98168,-0.05637,-0.18199,-0.025554,-0.91862,-0.39431,-0.84841,0.22855,-0.47746,0.52872,0.32234,-0.78521,-0.099811,-0.96071,-0.25899,-0.10519,0.26902,-0.95737,0.98943,-0.068313,-0.12791,-0.066869,-0.89926,-0.43228,-0.19599,0.43664,-0.87803,0.97832,0.026009,-0.20544
-0.10558,-0.95611,-0.27331,-0.1591,0.28755,-0.94446,0.9816,-0.056229,-0.18248,-0.025568,-0.91861,-0.39434,-0.84882,0.22833,-0.47684,0.52807,0.32253,-0.78557,-0.10006,-0.96074,-0.25877,-0.1054,0.26885,-0.9574,0.98938,-0.068522,-0.12816,-0.06702,-0.89923,-0.43231,-0.19666,0.43669,-0.87785,0.97818,0.026183,-0.20611
-0.10553,-0.95613,-0.27327,-0.15948,0.28752,-0.9444,0.98154,-0.056083,-0.18283,-0.025581,-0.91864,-0.39426,-0.84924,0.22804,-0.47623,0.52739,0.32264,-0.78598,-0.10019,-0.96081,-0.25847,-0.10556,0.26857,-0.95746,0.98935,-0.068638,-0.12833,-0.067183,-0.89921,-0.43232,-0.19736,0.43672,-0.87768,0.97803,0.026361,-0.20681
-0.10565,-0.95616,-0.27312,-0.15983,0.28741,-0.94438,0.98147,-0.056115,-0.18319,-0.025708,-0.91868,-0.39418,-0.84969,0.22781,-0.47552,0.52665,0.3227,-0.78645,-0.10026,-0.96089,-0.25814,-0.1057,0.26827,-0.95753,0.98933,-0.068712,-0.12846,-0.067481,-0.8992,-0.43231,-0.19817,0.43674,-0.87749,0.97784,0.026455,-0.20766
-0.10567,-0.95619,-0.27302,-0.16007,0.28733,-0.94436,0.98143,-0.056091,-0.18342,-0.025857,-0.9187,-0.3941,-0.85015,0.22761,-0.47481,0.52591,0.32276,-0.78692,-0.10027,-0.96093,-0.25799,-0.10577,0.26812,-0.95756,0.98932,-0.068727,-0.12852,-0.067854,-0.89919,-0.43226,-0.19897,0.43675,-0.8773,0.97765,0.02648,-0.20855
-0.10573,-0.95619,-0.27299,-0.16025,0.28732,-0.94433,0.9814,-0.056094,-0.18361,-0.025964,-0.91876,-0.39396,-0.85061,0.22733,-0.47411,0.52515,0.3228,-0.78741,-0.10016,-0.96098,-0.25785,-0.10575,0.26796,-0.95761,0.98934,-0.068647,-0.12846,-0.068191,-0.89921,-0.43218,-0.19978,0.43672,-0.87713,0.97746,0.02653,-0.20943
-0.10579,-0.95619,-0.27295,-0.1605,0.28731,-0.94429,0.98135,-0.056087,-0.18387,-0.026087,-0.91881,-0.39385,-0.85108,0.22708,-0.47339,0.52439,0.32285,-0.7879,-0.10002,-0.961,-0.25782,-0.10572,0.26792,-0.95762,0.98935,-0.068529,-0.12839,-0.068508,-0.89919,-0.43215,-0.20058,0.43674,-0.87694,0.97728,0.026603,-0.21028
